TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
145	ChickenSafeAreaTimeTip		▢FF00FFFF%1s秒后产生安全区	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds
146	ChickenPrepareSafeAreaTip		▢FF00FFFF安全区已产生	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed
147	ChickenPoisonAreaTimeTip		▢FF00FFFF%1s秒后缩小毒圈	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds
148	ChickenPreparePoisonAreaTip		▢FF00FFFF毒圈开始缩小	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!
149	ChickenAirSupportTimeTip		▢FF00FFFF空投将在%1s秒后投放到地图中	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds
150	ChickenPrepareAirSupportTip		▢FF00FFFF空投已投放,注意小地图	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !
151	ChickenPoisonAttackTip		▢FFFF0000你已远离安全区,请尽快赶往	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000请尽快赶往安全区	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone
152	JailBreakPoliceLevelUp		▢FFFEFE49你的功勋值达标，升职为▢FF48A7FF%1s，每日工资上限提升了！	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s
153	JailBreakCriminalLevelUp		▢FFFEFE49你的悬赏等级被提升为▢FFFF7878%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s
154	JailBreakBankAddWage		你获得了▢FF0000FF%1s▥，今天还可以得到▢FF0000FF%2s▥	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today
155	HideAndSeekName	HideAndSeek	躲猫猫大作战	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek
156	HideAndSeekRoleHide		躲藏者	Hide	Hide	Hide	Hide	Hide	Hide	Hide	Hide	Hide	Hide	Hide	Hide	Hide
157	HideAndSeekRoleSeek		搜寻者	Seek	Seek	Seek	Seek	Seek	Seek	Seek	Seek	Seek	Seek	Seek	Seek	Seek
158	HideAndSeekBecomeHideHint		▢FF00FF00快藏好，不要被找到了	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!
159	HideAndSeekChangeAndHide		▢FF00FF00你有▢FFFF0000%1s秒▢FF00FF00的时间改变造型并且躲藏起来	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself
160	HideAndSeekSeekWaitHint		▢FF00FF00暂时不能移动，等待躲藏者躲藏好，剩余▢FFFF0000%1s秒	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left
161	HideAndSeekNoStart		▢FF00FFFF游戏还没开始，暂时不能变化造型	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts
162	HideAndSeekNoTimes		▢FF00FFFF一局游戏只能变化%1s次造型	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game
163	HideAndSeekNoHide		▢FF00FFFF只有躲藏者才能变身	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance
164	HideAndSeekModelName		▢FF00FFFF还有▢FFFF0000%1s▢FF00FFFF存活	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left	▢FF00FFFFOnly ▢FFFF0000%1s▢FF00FFFF hiders left
20001	HideAndSeekFindFalse		▢FF00FFFF你找错了，扣一滴血	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1	▢FF00FFFFWrong target,HP-1
20002	HideAndSeekFindTrue		▢FF00FFFF你找到了%1s，加一滴血	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1	▢FF00FFFFYou found%1s and HP+1
20003	HideAndSeekHideFinded		▢FF00FFFF你被搜寻者找到了	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found	▢FF00FFFFYou are found
20004	HideAndSeekHideLast		▢FF00FFFF一个躲藏者被找到了，剩余▢FFFF0000%1s▢FF00FFFF个躲藏者	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left	▢FF00FFFFA hider is found,▢FFFF0000%1s▢FF00FFFFhiders left
20005	HideAndSeekModelName		邮筒	postbox	postbox	postbox	postbox	postbox	postbox	postbox	postbox	postbox	postbox	postbox	postbox	postbox
20006	HideAndSeekModelName		移动厕所	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets	portable toilets
20007	HideAndSeekModelName		铁砧	anvil	anvil	anvil	anvil	anvil	anvil	anvil	anvil	anvil	anvil	anvil	anvil	anvil
20008	HideAndSeekModelName		箭靶	target	target	target	target	target	target	target	target	target	target	target	target	target
20009	HideAndSeekModelName		人形箭靶	target	target	target	target	target	target	target	target	target	target	target	target	target
20010	HideAndSeekModelName		木制手推车	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart	wooden handcart
20011	HideAndSeekModelName		晾衣绳	washing line	washing line	washing line	washing line	washing line	washing line	washing line	washing line	washing line	washing line	washing line	washing line	washing line
20012	HideAndSeekModelName		垃圾桶	trash can	trash can	trash can	trash can	trash can	trash can	trash can	trash can	trash can	trash can	trash can	trash can	trash can
20013	HideAndSeekModelName		交通灯	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights	traffic lights
20014	HideAndSeekModelName		草丛	thicket	thicket	thicket	thicket	thicket	thicket	thicket	thicket	thicket	thicket	thicket	thicket	thicket
20015	HideAndSeekModelName		电话亭	telephone box	telephone box	telephone box	telephone box	telephone box	telephone box	telephone box	telephone box	telephone box	telephone box	telephone box	telephone box	telephone box
20016	HideAndSeekModelName		秋千	swing	swing	swing	swing	swing	swing	swing	swing	swing	swing	swing	swing	swing
20017	HideAndSeekModelName		路灯	streetlight	streetlight	streetlight	streetlight	streetlight	streetlight	streetlight	streetlight	streetlight	streetlight	streetlight	streetlight	streetlight
20018	HideAndSeekModelName		垃圾袋	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag	rubbish bag
20019	HideAndSeekModelName		广告板	poster board	poster board	poster board	poster board	poster board	poster board	poster board	poster board	poster board	poster board	poster board	poster board	poster board
20020	HideAndSeekModelName		刀	knife	knife	knife	knife	knife	knife	knife	knife	knife	knife	knife	knife	knife
20021	HideAndSeekModelName		狗屋	kennel	kennel	kennel	kennel	kennel	kennel	kennel	kennel	kennel	kennel	kennel	kennel	kennel
20022	HideAndSeekModelName		喷泉	fountain	fountain	fountain	fountain	fountain	fountain	fountain	fountain	fountain	fountain	fountain	fountain	fountain
20023	HideAndSeekModelName		热狗车	food truck	food truck	food truck	food truck	food truck	food truck	food truck	food truck	food truck	food truck	food truck	food truck	food truck
20024	HideAndSeekModelName		垃圾箱	dustbin	dustbin	dustbin	dustbin	dustbin	dustbin	dustbin	dustbin	dustbin	dustbin	dustbin	dustbin	dustbin
20025	HideAndSeekModelName		碟子	dish	dish	dish	dish	dish	dish	dish	dish	dish	dish	dish	dish	dish
20026	HideAndSeekModelName		杯子	cup	cup	cup	cup	cup	cup	cup	cup	cup	cup	cup	cup	cup
20027	HideAndSeekModelName		纸箱	carton	carton	carton	carton	carton	carton	carton	carton	carton	carton	carton	carton	carton
20028	HideAndSeekModelName		四轮马车	carriage	carriage	carriage	carriage	carriage	carriage	carriage	carriage	carriage	carriage	carriage	carriage	carriage
20029	HideAndSeekModelName		水桶	barrel	barrel	barrel	barrel	barrel	barrel	barrel	barrel	barrel	barrel	barrel	barrel	barrel
20030	HideAndSeekModelName		斧头	axe	axe	axe	axe	axe	axe	axe	axe	axe	axe	axe	axe	axe
20031	HideAndSeekModelName		广告灯箱	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case	ad lamp case
20032	HideAndSeekModelName		木箱	wooden box	wooden box	wooden box	wooden box	wooden box	wooden box	wooden box	wooden box	wooden box	wooden box	wooden box	wooden box	wooden box
20033	HideAndSeekModelName		长椅	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench	wooden bench
20034	HideAndSeekModelName		水井	well	well	well	well	well	well	well	well	well	well	well	well	well
20035	HideAndSeekModelName		水槽	trough	trough	trough	trough	trough	trough	trough	trough	trough	trough	trough	trough	trough
20036	HideAndSeekModelName		树	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree
20037	HideAndSeekModelName		墓碑	tombstone	tombstone	tombstone	tombstone	tombstone	tombstone	tombstone	tombstone	tombstone	tombstone	tombstone	tombstone	tombstone
20038	HideAndSeekModelName		石墙	stonewall	stonewall	stonewall	stonewall	stonewall	stonewall	stonewall	stonewall	stonewall	stonewall	stonewall	stonewall	stonewall
20039	HideAndSeekModelName		南瓜	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin	pumpkin
20040	HideAndSeekModelName		干草堆	mow	mow	mow	mow	mow	mow	mow	mow	mow	mow	mow	mow	mow
20041	HideAndSeekModelName		金属垃圾桶	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can	metal trash can
20042	HideAndSeekModelName		栅栏	fence	fence	fence	fence	fence	fence	fence	fence	fence	fence	fence	fence	fence
20043	HideAndSeekModelName		长餐椅	dining chair	dining chair	dining chair	dining chair	dining chair	dining chair	dining chair	dining chair	dining chair	dining chair	dining chair	dining chair	dining chair
20044	HideAndSeekModelName		桌子	desk	desk	desk	desk	desk	desk	desk	desk	desk	desk	desk	desk	desk
20045	HideAndSeekModelName		自动售货机	coin machine	coin machine	coin machine	coin machine	coin machine	coin machine	coin machine	coin machine	coin machine	coin machine	coin machine	coin machine	coin machine
20046	HideAndSeekModelName		棺材	coffin	coffin	coffin	coffin	coffin	coffin	coffin	coffin	coffin	coffin	coffin	coffin	coffin
20047	HideAndSeekModelName		酒桶	cask	cask	cask	cask	cask	cask	cask	cask	cask	cask	cask	cask	cask
20048	HideAndSeekModelName		篝火	bonfire	bonfire	bonfire	bonfire	bonfire	bonfire	bonfire	bonfire	bonfire	bonfire	bonfire	bonfire	bonfire
20049	HideAndSeekModelName		汽车	car	car	car	car	car	car	car	car	car	car	car	car	car
20050	HideAndSeekFindFalse		▢FF00FFFF你找错了	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.	▢FF00FFFFYou've picked a wrong target.
20051	HideAndSeekFind45Second		▢FF00FFFF游戏还有▢FFFF0000%1s秒▢FF00FFFF结束，躲藏者找错不再扣血	▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now	 ▢FFFF0000%1s sec left ▢FF00FFFF，HP won't reduce now
20052	CreepyAliensName	Aliens Attack	异星入侵	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack	Aliens Attack
20053	CreepyAliensLongWaitingHint		▢FFFF0000当前等待时间过长，建议退出游戏重入	▢FFFF0000The current waiting time is too long, it`s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter	▢FFFF0000The current waiting time is too long, it·s recommended to exit and re-enter
20054	CreepyAliensSelectMapHint		▢FF00FF00游戏开始，当前地图▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]	▢FF00FF00Game start, current map is▢FFFF0000[%1s]
20055	CreepyAliensUpgrade		▢FFFFD700恭喜你，升级了	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up	▢FFFFD700Congratulations, level up
